party,coalition
Janata Dal (United),NDA
Bharatiya Janata Party,NDA
Lok Janshakti Party (Ram Vilas),NDA
Hindustani Awam Morcha (Secular),NDA
Rashtriya Lok Morcha,NDA
Indian National Congress,MGB
Rashtriya Janata Dal,MGB
Communist Party of India (Marxist–Leninist) Liberation,MGB
Communist Party of India (Marxist),MGB
Indian Inclusive Party,MGB
Communist Party of India,MGB
Vikassheel Insaan Party,MGB
All India Majlis-e-Ittehadul Muslimeen,GDA
Rashtriya Lok Janshakti Party,GDA
Aazad Samaj Party (Kanshi Ram),GDA
Apni Janata Party,GDA
