constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
1,Valmiki Nagar,1,Dhirendra Pratap Singh Alias Rinku Singh,Janata Dal (United),105771,284,106055,45.39,NDA
1,Valmiki Nagar,2,Rameshwar Yadav,Bahujan Samaj Party,5294,18,5312,2.27,
1,Valmiki Nagar,3,Surendra Prasad,Indian National Congress,107374,356,107730,46.11,MGB
1,Valmiki Nagar,4,Rajesh Sharma,Lok Samaj Party,2301,2,2303,0.99,
1,Valmiki Nagar,5,Azharuddin Ansari,Independent,1553,1,1554,0.67,
1,Valmiki Nagar,6,Mahmad Jalil,Independent,2426,0,2426,1.04,
1,Valmiki Nagar,7,Surendra Ram,Independent,1850,2,1852,0.79,
1,Valmiki Nagar,8,Nota,None of the Above,6391,9,6400,2.74,
2,Ramnagar,1,Aaditya Kumar,Bahujan Samaj Party,2649,14,2663,1.25,
2,Ramnagar,2,Nand Kishor Ram,Bharatiya Janata Party,114958,256,115214,54.13,NDA
2,Ramnagar,3,Subodh Kumar,Rashtriya Janata Dal,79216,318,79534,37.36,MGB
2,Ramnagar,4,Pappu Kumar Ranjan,Jan Suraaj Party,6933,59,6992,3.28,
2,Ramnagar,5,Lalan Paswan,Nationalist Congress Party,613,5,618,0.29,
2,Ramnagar,6,Vashishtha Paswan,Suheldev Bharatiya Samaj Party,1515,2,1517,0.71,
2,Ramnagar,7,Angad Ram,Independent,1842,0,1842,0.87,
2,Ramnagar,8,Santosh Ram,Independent,2294,1,2295,1.08,
2,Ramnagar,9,Nota,None of the Above,2178,6,2184,1.03,
3,Narkatiaganj,1,Deepak Yadav,Rashtriya Janata Dal,73355,231,73586,37.41,MGB
3,Narkatiaganj,2,Md Motiur Rahman,Bahujan Samaj Party,941,10,951,0.48,
3,Narkatiaganj,3,Shashwat Kedar,Indian National Congress,5259,129,5388,2.74,MGB
3,Narkatiaganj,4,Sanjay Kumar Pandey,Bharatiya Janata Party,99815,229,100044,50.86,NDA
3,Narkatiaganj,5,Dilshad Ahmad,Fauji Janta Party,1236,2,1238,0.63,
3,Narkatiaganj,6,Mohammad Rashid Azim,Nationalist Congress Party,289,2,291,0.15,
