State,District,Constituency_Num,Constituency_Name,Constituency_Category
Bihar,Paschim Champaran,1,Valmiki Nagar,General
Bihar,Paschim Champaran,2,Ramnagar,SC
Bihar,Paschim Champaran,3,Narkatiaganj,General
Bihar,Paschim Champaran,4,Bagaha,General
Bihar,Paschim Champaran,5,Lauriya,General
Bihar,Paschim Champaran,6,Nautan,General
Bihar,Paschim Champaran,7,Chanpatia,General
Bihar,Paschim Champaran,8,Bettiah,General
Bihar,Paschim Champaran,9,Sikta,General
Bihar,Paschim Champaran,10,Raxaul,General
Bihar,Purvi Champaran,11,Sugauli,General
Bihar,Purvi Champaran,12,Narkatia,General
Bihar,Purvi Champaran,13,Harsidhi,SC
Bihar,Purvi Champaran,14,Govindganj,General
Bihar,Purvi Champaran,15,Kesaria,General
Bihar,Purvi Champaran,16,Kalyanpur,General
Bihar,Purvi Champaran,17,Pipra,General
Bihar,Purvi Champaran,18,Madhuban,General
Bihar,Purvi Champaran,19,Motihari,General
Bihar,Purvi Champaran,20,Chiraia,General
Bihar,Purvi Champaran,21,Dhaka,General
Bihar,Sheohar,22,Sheohar,General
Bihar,Sitamarhi,23,Riga,General
Bihar,Sitamarhi,24,Bathnaha,SC
Bihar,Sitamarhi,25,Parihar,General
Bihar,Sitamarhi,26,Sursand,General
Bihar,Sitamarhi,27,Bajpatti,General
Bihar,Sitamarhi,28,Sitamarhi,General
Bihar,Sitamarhi,29,Runnisaidpur,General
Bihar,Sitamarhi,30,Belsand,General
Bihar,Madhubani,31,Harlakhi,General
Bihar,Madhubani,32,Piprahi,General
Bihar,Madhubani,33,Benipatti,General
Bihar,Madhubani,34,Khajauli,General
Bihar,Madhubani,35,Babubarhi,General
Bihar,Madhubani,36,Madhubani,General
Bihar,Madhubani,37,Rajnagar,SC
Bihar,Madhubani,38,Jhanjharpur,General
Bihar,Madhubani,39,Phulparas,General
Bihar,Madhubani,40,Laukaha,General
Bihar,Supaul,41,Nirmali,General
Bihar,Supaul,42,Pipra,General
Bihar,Supaul,43,Supaul,General
Bihar,Supaul,44,Triveniganj,SC
Bihar,Supaul,45,Chhatapur,General
Bihar,Araria,46,Narpatganj,General
Bihar,Araria,47,Raniganj,SC
Bihar,Araria,48,Forbesganj,General
Bihar,Araria,49,Araria,General
Bihar,Araria,50,Jokihat,General
Bihar,Araria,51,Sikti,General
Bihar,Kishanganj,52,Bahadurganj,General
Bihar,Kishanganj,53,Thakurganj,General
Bihar,Kishanganj,54,Kishanganj,General
Bihar,Kishanganj,55,Kochadhaman,General
Bihar,Purnia,56,Amour,General
Bihar,Purnia,57,Baisi,General
Bihar,Purnia,58,Kasba,General
Bihar,Purnia,59,Banmankhi,SC
Bihar,Purnia,60,Rupauli,General
Bihar,Purnia,61,Dhamdaha,General
Bihar,Purnia,62,Purnia,General
Bihar,Katihar,63,Katihar,General
Bihar,Katihar,64,Kadwa,General
Bihar,Katihar,65,Balrampur,General
Bihar,Katihar,66,Pranpur,General
Bihar,Katihar,67,Manihari,ST
Bihar,Katihar,68,Barari,General
Bihar,Katihar,69,Korha,SC
Bihar,Madhepura,70,Alamnagar,General
Bihar,Madhepura,71,Bihariganj,General
Bihar,Madhepura,72,Singheshwar,SC
Bihar,Madhepura,73,Madhepura,General
Bihar,Saharsa,74,Sonbarsha,SC
Bihar,Saharsa,75,Saharsa,General
Bihar,Saharsa,76,Simri Bakhtiarpur,General
Bihar,Saharsa,77,Mahishi,General
Bihar,Darbhanga,78,Kusheshwar Asthan,SC
Bihar,Darbhanga,79,Gaura Bauram,General
Bihar,Darbhanga,80,Benipur,General
Bihar,Darbhanga,81,Alinagar,General
Bihar,Darbhanga,82,Darbhanga Rural,General
Bihar,Darbhanga,83,Darbhanga,General
Bihar,Darbhanga,84,Hayaghat,General
Bihar,Darbhanga,85,Bahadurpur,General
Bihar,Darbhanga,86,Keoti,General
