Year,State,Party_Name,Coalition
2025,Bihar,Janata Dal (United),NDA
2025,Bihar,Bharatiya Janata Party,NDA
2025,Bihar,Lok Janshakti Party (Ram Vilas),NDA
2025,Bihar,Hindustani Awam Morcha (Secular),NDA
2025,Bihar,Rashtriya Lok Morcha,NDA
2025,Bihar,Indian National Congress,MGB
2025,Bihar,Rashtriya Janata Dal,MGB
2025,Bihar,Communist Party of India (Marxist–Leninist) Liberation,MGB
2025,Bihar,Communist Party of India (Marxist),MGB
2025,Bihar,Indian Inclusive Party,MGB
2025,Bihar,Communist Party of India,MGB
2025,Bihar,Vikassheel Insaan Party,MGB
2025,Bihar,All India Majlis-e-Ittehadul Muslimeen,GDA
2025,Bihar,Rashtriya Lok Janshakti Party,GDA
2025,Bihar,Aazad Samaj Party (Kanshi Ram),GDA
2025,Bihar,Apni Janata Party,GDA
2026,West Bengal,All India Majlis-e-Ittehadul Muslimeen (AIMIM),AIMIM-led
2026,West Bengal,Aam Janata Unnayan Party,AIMIM-led
2026,West Bengal,Communist Party of India (Marxist),Left–Congress alliance
2026,West Bengal,Communist Party of India,Left–Congress alliance
2026,West Bengal,All India Forward Bloc,Left–Congress alliance
2026,West Bengal,Revolutionary Socialist Party,Left–Congress alliance
2026,West Bengal,Indian National Congress,Left–Congress alliance
2026,Tamil Nadu,Dravida Munnetra Kazhagam,SPA
2026,Tamil Nadu,Indian National Congress,SPA
2026,Tamil Nadu,Communist Party of India (Marxist),SPA
2026,Tamil Nadu,Communist Party of India,SPA
2026,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,SPA
2026,Tamil Nadu,Viduthalai Chiruthaigal Katchi,SPA
2026,Tamil Nadu,Desiya Murpokku Dravida Kazhagam,SPA
2026,Tamil Nadu,Manithaneya Jananayaga Katchi,SPA
2026,Tamil Nadu,Kongunadu Makkal Desia Katchi,SPA
2026,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,NDA
2026,Tamil Nadu,Bharatiya Janata Party,NDA
2026,Tamil Nadu,Pattali Makkal Katchi,NDA
2026,Tamil Nadu,Amma Makkal Munnetra Kazhagam,NDA
2026,Tamil Nadu,Tamil Maanila Congress,NDA
2026,Tamil Nadu,Indhiya Jananayaga Katchi,NDA
2026,Kerala,Communist Party of India (Marxist),LDF
2026,Kerala,Communist Party of India,LDF
2026,Kerala,Kerala Congress (M),LDF
2026,Kerala,Kerala Congress (B),LDF
2026,Kerala,Janata Dal (Secular),LDF
2026,Kerala,Nationalist Congress Party,LDF
2026,Kerala,Indian National League,LDF
2026,Kerala,Indian National Congress,UDF
2026,Kerala,Indian Union Muslim League,UDF
2026,Kerala,Kerala Congress (Joseph),UDF
2026,Kerala,Kerala Congress (Jacob),UDF
2026,Kerala,Revolutionary Socialist Party,UDF
2026,Kerala,other smaller allies,UDF
2026,Kerala,Bharatiya Janata Party,NDA
2026,Kerala,Bharath Dharma Jana Sena,NDA
2026,Assam,Bharatiya Janata Party,NDA
2026,Assam,Asom Gana Parishad,NDA
2026,Assam,United People’s Party Liberal,NDA
2026,Assam,Indian National Congress,Congress-led alliance
2026,Assam,All India United Democratic Front,Congress-led alliance
