Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
1,Gummidipoondi,1,T.J.Govindarajan,Dravida Munnetra Kazhagam,61922,570,62492,26.88,26,26,Tamil Nadu,Tiruvallur,General,SPA,2026
1,Gummidipoondi,2,Sudhakar.V,All India Anna Dravida Munnetra Kazhagam,65894,481,66375,28.55,26,26,Tamil Nadu,Tiruvallur,General,NDA,2026
1,Gummidipoondi,3,M.Jagadeesan,Bahujan Samaj Party,695,2,697,0.3,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,4,"R.Sridar. B.L.,",Naam Tamilar Katchi,4707,49,4756,2.05,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,5,Sdk Sankar,Aanaithinthiya Jananayaka Pathukappu Kazhagam,593,6,599,0.26,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,6,K. Chandra Sekar,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,335,1,336,0.14,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,7,S.Vijayakumar,Tamilaga Vettri Kazhagam,93820,500,94320,40.56,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,8,M.Kumaran,Independent,260,0,260,0.11,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,9,Gopal.K,Independent,174,3,177,0.08,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,10,T.Govindan,Independent,205,1,206,0.09,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,11,A.H. Siva Ganesh,Independent,104,0,104,0.04,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,12,D.Sudhakar,Independent,319,2,321,0.14,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,13,V.Sudhakar,Independent,217,0,217,0.09,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,14,D.Dinesh,Independent,222,0,222,0.1,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,15,G.Ranjith B.Sc.L.L.B,Independent,502,1,503,0.22,26,26,Tamil Nadu,Tiruvallur,General,,2026
1,Gummidipoondi,16,Nota,None of the Above,931,6,937,0.4,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,1,Durai Chandrasekar,Indian National Congress,54301,370,54671,24.1,26,26,Tamil Nadu,Tiruvallur,General,SPA,2026
2,Ponneri,2,Santhoshkumar.J,Bahujan Samaj Party,611,4,615,0.27,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,3,Balaraman.P,All India Anna Dravida Munnetra Kazhagam,51160,308,51468,22.69,26,26,Tamil Nadu,Tiruvallur,General,NDA,2026
2,Ponneri,4,Rajathi.M,Naam Tamilar Katchi,6633,43,6676,2.94,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,5,Ashok Priyadarshan,Desiya Makkal Sakthi Katchi,360,6,366,0.16,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,6,Raja.S,Vanchit Bahujan Aaghadi,295,4,299,0.13,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,7,Kotteeswaran. K,Tamizhaga Vaazhvurimai Katchi,163,3,166,0.07,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,8,Malathi.S,Tamizhaga Murpokku Makkal Katchi,371,0,371,0.16,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,9,Dr.Ravi.M.S,Tamilaga Vettri Kazhagam,110051,388,110439,48.69,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,10,Nagaiyan.G,Independent,227,5,232,0.1,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,11,Barathiraja.K,Independent,155,4,159,0.07,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,12,Rajasekar.J,Independent,288,1,289,0.13,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,13,Venkatesan.S,Independent,202,1,203,0.09,26,26,Tamil Nadu,Tiruvallur,General,,2026
2,Ponneri,14,Nota,None of the Above,859,6,865,0.38,26,26,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,1,G.Hari,All India Anna Dravida Munnetra Kazhagam,87893,1276,89169,37.34,27,27,Tamil Nadu,Tiruvallur,General,NDA,2026
3,Tiruttani,2,D.Krishnamurthy,Desiya Murpokku Dravida Kazhagam,53976,887,54863,22.97,27,27,Tamil Nadu,Tiruvallur,General,SPA,2026
3,Tiruttani,3,Chandran .S.S,Naam Tamilar Katchi,6516,188,6704,2.81,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,4,Muthuraj.G,Bahujan Samaj Party,469,1,470,0.2,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,5,M.Sathya Kumar,Tamilaga Vettri Kazhagam,82608,768,83376,34.91,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,6,Balaji.A,Thakkam Katchi,272,0,272,0.11,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,7,Pavendhan.Y.R,Tamizhaga Vaazhvurimai Katchi,130,2,132,0.06,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,8,Krishnamoorthy.K,Independent,201,9,210,0.09,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,9,Krishnamoorthy.D,Independent,460,7,467,0.2,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,10,Krishnamoorthy.M,Independent,943,3,946,0.4,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,11,Shettu.S,Independent,152,1,153,0.06,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,12,Dr.A.V.Narendran,Independent,197,1,198,0.08,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,13,Jambu.B,Independent,623,5,628,0.26,27,27,Tamil Nadu,Tiruvallur,General,,2026
3,Tiruttani,14,Nota,None of the Above,1180,30,1210,0.51,27,27,Tamil Nadu,Tiruvallur,General,,2026
4,Thiruvallur,1,V.G. Raajendran,Dravida Munnetra Kazhagam,66729,701,67430,29.78,24,24,Tamil Nadu,Tiruvallur,General,SPA,2026
4,Thiruvallur,2,K. Senthilkumar,Naam Tamilar Katchi,5452,61,5513,2.43,24,24,Tamil Nadu,Tiruvallur,General,,2026
