Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
1,Mekliganj,1,Adhikary Paresh Chandra,All India Trinamool Congress,89062,463,89525,40.91,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,2,Ila Rani Roy,Indian National Congress,1276,12,1288,0.59,19,19,West Bengal,Cooch Behar,SC,Left–Congress alliance,2026
1,Mekliganj,3,Kamal Kumar Roy,All India Forward Bloc,2345,41,2386,1.09,19,19,West Bengal,Cooch Behar,SC,Left–Congress alliance,2026
1,Mekliganj,4,Dadhiram Ray,Bharatiya Janata Party,118185,924,119109,54.42,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,5,Hiten Barman,Socialist Unity Centre Of India (COMMUNIST),1383,9,1392,0.64,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,6,Kirttiram Barman,Independent,215,3,218,0.1,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,7,Krishna Barman,Independent,231,0,231,0.11,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,8,Golapi Roy,Independent,426,1,427,0.2,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,9,Purnendu Roy,Independent,897,3,900,0.41,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,10,Manoj Kumar Ray,Independent,276,2,278,0.13,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,11,Hiranmay Deb Singha,Independent,978,1,979,0.45,19,19,West Bengal,Cooch Behar,SC,,2026
1,Mekliganj,12,Nota,None of the Above,2112,14,2126,0.97,19,19,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,1,Kshitendra Nath Barman,Indian National Congress,1110,8,1118,0.46,24,24,West Bengal,Cooch Behar,SC,Left–Congress alliance,2026
2,Mathabhanga,2,Khagen Chandra Barman,Communist Party of India (Marxist),3945,85,4030,1.67,24,24,West Bengal,Cooch Behar,SC,Left–Congress alliance,2026
2,Mathabhanga,3,Nishith Pramanik,Bharatiya Janata Party,142057,1283,143340,59.27,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,4,Mritunjoy Biswas,Bahujan Samaj Party,1096,1,1097,0.45,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,5,Dr. Sablu Barman,All India Trinamool Congress,85735,515,86250,35.66,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,6,Premananda Barman,Kamatapur People's Party (United),753,2,755,0.31,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,7,Bikash Barman,Socialist Unity Centre Of India (COMMUNIST),336,1,337,0.14,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,8,Subodh Barman,Amra Bangalee,192,0,192,0.08,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,9,Kangsa Raj Barman,Independent,324,1,325,0.13,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,10,Goutam Barman,Independent,287,1,288,0.12,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,11,Provakar Roy,Independent,678,6,684,0.28,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,12,Mihir Sarkar,Independent,882,1,883,0.37,24,24,West Bengal,Cooch Behar,SC,,2026
2,Mathabhanga,13,Dr. Harekrishna Sarkar,Independent,1164,4,1168,0.48,24,24,West Bengal,Cooch Behar,SC,,2026
